"total_trx","total_amount","tx_day"
528,458084259,2022-03-03 00:00:00.000
1077,3184741319,2022-03-04 00:00:00.000
555,513933008,2022-03-05 00:00:00.000
359,346600142,2022-03-06 00:00:00.000
797,872168325,2022-03-07 00:00:00.000
580,1524406662,2022-03-08 00:00:00.000
463,2692326562,2022-03-09 00:00:00.000
566,832821923,2022-03-10 00:00:00.000
351,1332756846,2022-03-11 00:00:00.000
255,290475248,2022-03-12 00:00:00.000
161,195506207,2022-03-13 00:00:00.000
356,601767254,2022-03-14 00:00:00.000
233,2854060447,2022-03-15 00:00:00.000
346,890543088,2022-03-16 00:00:00.000
213,687781007,2022-03-17 00:00:00.000
190,548893879,2022-03-18 00:00:00.000
115,129385309,2022-03-19 00:00:00.000
72,62139945,2022-03-20 00:00:00.000
184,325848000,2022-03-21 00:00:00.000
182,1378047719,2022-03-22 00:00:00.000
154,209595068,2022-03-23 00:00:00.000
220,3680657702,2022-03-24 00:00:00.000
350,491003058,2022-03-25 00:00:00.000
221,262684116,2022-03-26 00:00:00.000
122,122876742,2022-03-27 00:00:00.000
458,1575516878,2022-03-28 00:00:00.000
391,5031009813,2022-03-29 00:00:00.000
452,471650544,2022-03-30 00:00:00.000
565,529088277,2022-03-31 00:00:00.000
849,917764776,2022-04-01 00:00:00.000
556,620874959,2022-04-02 00:00:00.000
385,495394000,2022-04-03 00:00:00.000
812,1171055842,2022-04-04 00:00:00.000
756,1250950006,2022-04-05 00:00:00.000
654,750462300,2022-04-06 00:00:00.000
664,727068992,2022-04-07 00:00:00.000
739,1018720900,2022-04-08 00:00:00.000
373,448836500,2022-04-09 00:00:00.000
267,390138900,2022-04-10 00:00:00.000
753,1534775310,2022-04-11 00:00:00.000
552,1007410036,2022-04-12 00:00:00.000
558,2834948540,2022-04-13 00:00:00.000
547,5665827521,2022-04-14 00:00:00.000
249,334550850,2022-04-15 00:00:00.000
218,269224786,2022-04-16 00:00:00.000
127,157095000,2022-04-17 00:00:00.000
464,766578704,2022-04-18 00:00:00.000
357,2979237950,2022-04-19 00:00:00.000
368,811084850,2022-04-20 00:00:00.000
323,683343713,2022-04-21 00:00:00.000
282,1400695306,2022-04-22 00:00:00.000
168,285734102,2022-04-23 00:00:00.000
105,175710650,2022-04-24 00:00:00.000
417,643819206,2022-04-25 00:00:00.000
353,1096466946,2022-04-26 00:00:00.000
474,3311690850,2022-04-27 00:00:00.000
373,778149965,2022-04-28 00:00:00.000
236,252780500,2022-04-29 00:00:00.000
204,259293984,2022-04-30 00:00:00.000
309,306716010,2022-05-01 00:00:00.000
101,107496950,2022-05-02 00:00:00.000
189,224821109,2022-05-03 00:00:00.000
260,291608742,2022-05-04 00:00:00.000
312,342697401,2022-05-05 00:00:00.000
336,422671450,2022-05-06 00:00:00.000
355,431155376,2022-05-07 00:00:00.000
394,399586758,2022-05-08 00:00:00.000
862,3085043901,2022-05-09 00:00:00.000
1059,1745300392,2022-05-10 00:00:00.000
898,1834835818,2022-05-11 00:00:00.000
789,2869796843,2022-05-12 00:00:00.000
684,1111037982,2022-05-13 00:00:00.000
325,411381500,2022-05-14 00:00:00.000
214,294812500,2022-05-15 00:00:00.000
394,709281010,2022-05-16 00:00:00.000
733,1577852786,2022-05-17 00:00:00.000
629,1455452620,2022-05-18 00:00:00.000
416,739043800,2022-05-19 00:00:00.000
427,827303464,2022-05-20 00:00:00.000
198,232630700,2022-05-21 00:00:00.000
168,216852000,2022-05-22 00:00:00.000
499,658784230,2022-05-23 00:00:00.000
413,703940542,2022-05-24 00:00:00.000
665,5347475189,2022-05-25 00:00:00.000
337,395473300,2022-05-26 00:00:00.000
763,1223906451,2022-05-27 00:00:00.000
333,454265200,2022-05-28 00:00:00.000
271,322579055,2022-05-29 00:00:00.000
831,1374653274,2022-05-30 00:00:00.000
793,969410794,2022-05-31 00:00:00.000
821,877621947,2022-06-01 00:00:00.000
1515,1677175616,2022-06-02 00:00:00.000
1488,1394697065,2022-06-03 00:00:00.000
782,739408291,2022-06-04 00:00:00.000
594,576904125,2022-06-05 00:00:00.000
1136,1680324698,2022-06-06 00:00:00.000
891,860828436,2022-06-07 00:00:00.000
829,1181782220,2022-06-08 00:00:00.000
657,730453291,2022-06-09 00:00:00.000
700,1024644017,2022-06-10 00:00:00.000
330,355675012,2022-06-11 00:00:00.000
223,201507585,2022-06-12 00:00:00.000
565,641366459,2022-06-13 00:00:00.000
578,801865071,2022-06-14 00:00:00.000
464,738776262,2022-06-15 00:00:00.000
561,709509785,2022-06-16 00:00:00.000
498,699237355,2022-06-17 00:00:00.000
235,247136806,2022-06-18 00:00:00.000
173,191927473,2022-06-19 00:00:00.000
611,914446059,2022-06-20 00:00:00.000
400,822454635,2022-06-21 00:00:00.000
884,833712196,2022-06-22 00:00:00.000
1420,948934888,2022-06-23 00:00:00.000
1677,2124459966,2022-06-24 00:00:00.000
936,739448289,2022-06-25 00:00:00.000
573,381089050,2022-06-26 00:00:00.000
1012,1639981004,2022-06-27 00:00:00.000
853,1053300265,2022-06-28 00:00:00.000
830,1018309730,2022-06-29 00:00:00.000
1132,1418164695,2022-06-30 00:00:00.000
1778,2078011080,2022-07-01 00:00:00.000
1135,1316163292,2022-07-02 00:00:00.000
665,858297500,2022-07-03 00:00:00.000
1681,2097455910,2022-07-04 00:00:00.000
1701,2019773904,2022-07-05 00:00:00.000
679,1779149250,2022-07-06 00:00:00.000
769,2554011817,2022-07-07 00:00:00.000
644,2121583648,2022-07-08 00:00:00.000
328,1087051653,2022-07-09 00:00:00.000
176,631113500,2022-07-10 00:00:00.000
627,1773308882,2022-07-11 00:00:00.000
621,1533686650,2022-07-12 00:00:00.000
599,1399095181,2022-07-13 00:00:00.000
762,1854431459,2022-07-14 00:00:00.000
729,1708084238,2022-07-15 00:00:00.000
385,855053223,2022-07-16 00:00:00.000
319,795488083,2022-07-17 00:00:00.000
863,1835336133,2022-07-18 00:00:00.000
1027,2676988324,2022-07-19 00:00:00.000
1077,3248593818,2022-07-20 00:00:00.000
921,2497537875,2022-07-21 00:00:00.000
853,2090157252,2022-07-22 00:00:00.000
299,497024666,2022-07-23 00:00:00.000
264,439780000,2022-07-24 00:00:00.000
976,1970987379,2022-07-25 00:00:00.000
669,1574123446,2022-07-26 00:00:00.000
575,1269392755,2022-07-27 00:00:00.000
732,1437168033,2022-07-28 00:00:00.000
706,1356393750,2022-07-29 00:00:00.000
341,550266637,2022-07-30 00:00:00.000
364,570808500,2022-07-31 00:00:00.000
1868,3086720518,2022-08-01 00:00:00.000
1671,2861645866,2022-08-02 00:00:00.000
1229,2128842827,2022-08-03 00:00:00.000
1193,2174350550,2022-08-04 00:00:00.000
1175,2034948197,2022-08-05 00:00:00.000
473,738095317,2022-08-06 00:00:00.000
454,828292150,2022-08-07 00:00:00.000
1354,2867113349,2022-08-08 00:00:00.000
1178,2422134144,2022-08-09 00:00:00.000
1136,2315947950,2022-08-10 00:00:00.000
1544,4580688000,2022-08-11 00:00:00.000
1300,3939770274,2022-08-12 00:00:00.000
470,1227221350,2022-08-13 00:00:00.000
376,1104859923,2022-08-14 00:00:00.000
2063,6472267763,2022-08-15 00:00:00.000
678,2055750342,2022-08-16 00:00:00.000
781,2371954250,2022-08-17 00:00:00.000
2247,6298023850,2022-08-18 00:00:00.000
1675,4657223366,2022-08-19 00:00:00.000
630,1594895500,2022-08-20 00:00:00.000
459,1101763000,2022-08-21 00:00:00.000
2347,6275844875,2022-08-22 00:00:00.000
2268,5760472750,2022-08-23 00:00:00.000
350,747685542,2022-08-24 00:00:00.000
780,1367259606,2022-08-25 00:00:00.000
583,996502047,2022-08-26 00:00:00.000
332,532290783,2022-08-27 00:00:00.000
233,384221742,2022-08-28 00:00:00.000
841,1546103618,2022-08-29 00:00:00.000
1088,1999779202,2022-08-30 00:00:00.000
730,1105701131,2022-08-31 00:00:00.000
1706,2234357281,2022-09-01 00:00:00.000
1277,1565342453,2022-09-02 00:00:00.000
697,917052312,2022-09-03 00:00:00.000
495,637888000,2022-09-04 00:00:00.000
1474,1822791150,2022-09-05 00:00:00.000
1057,1344708731,2022-09-06 00:00:00.000
920,1306450784,2022-09-07 00:00:00.000
784,828847992,2022-09-08 00:00:00.000
834,1006778051,2022-09-09 00:00:00.000
558,721402504,2022-09-10 00:00:00.000
308,372715500,2022-09-11 00:00:00.000
790,924803304,2022-09-12 00:00:00.000
650,800303705,2022-09-13 00:00:00.000
602,961694504,2022-09-14 00:00:00.000
589,865592900,2022-09-15 00:00:00.000
512,656989986,2022-09-16 00:00:00.000
314,395708253,2022-09-17 00:00:00.000
216,236476650,2022-09-18 00:00:00.000
403,768315253,2022-09-19 00:00:00.000
299,955060116,2022-09-20 00:00:00.000
373,439058717,2022-09-21 00:00:00.000
451,433659500,2022-09-22 00:00:00.000
553,728717094,2022-09-23 00:00:00.000
295,429461809,2022-09-24 00:00:00.000
245,370352819,2022-09-25 00:00:00.000
498,810720133,2022-09-26 00:00:00.000
531,813690303,2022-09-27 00:00:00.000
538,742574350,2022-09-28 00:00:00.000
491,839723254,2022-09-29 00:00:00.000
604,869610138,2022-09-30 00:00:00.000
852,1378340500,2022-10-01 00:00:00.000
599,861048951,2022-10-02 00:00:00.000
1645,2301434632,2022-10-03 00:00:00.000
1160,1776601010,2022-10-04 00:00:00.000
1116,2187227917,2022-10-05 00:00:00.000
940,2201357544,2022-10-06 00:00:00.000
720,1841030244,2022-10-07 00:00:00.000
337,858831320,2022-10-08 00:00:00.000
335,704181100,2022-10-09 00:00:00.000
882,1835427328,2022-10-10 00:00:00.000
613,881055917,2022-10-11 00:00:00.000
569,1265878370,2022-10-12 00:00:00.000
506,1051302571,2022-10-13 00:00:00.000
948,1149460964,2022-10-14 00:00:00.000
486,383190000,2022-10-15 00:00:00.000
360,265514850,2022-10-16 00:00:00.000
855,1356396148,2022-10-17 00:00:00.000
626,1945547050,2022-10-18 00:00:00.000
285,1925661229,2022-10-19 00:00:00.000
291,1342971523,2022-10-20 00:00:00.000
277,1294689050,2022-10-21 00:00:00.000
129,553458242,2022-10-22 00:00:00.000
104,500740400,2022-10-23 00:00:00.000
351,869714800,2022-10-24 00:00:00.000
697,1835774031,2022-10-25 00:00:00.000
516,2176550921,2022-10-26 00:00:00.000
557,1749162851,2022-10-27 00:00:00.000
610,1831498471,2022-10-28 00:00:00.000
354,966104086,2022-10-29 00:00:00.000
332,769089501,2022-10-30 00:00:00.000
906,2213541022,2022-10-31 00:00:00.000
1720,2188043890,2022-11-01 00:00:00.000
1449,1809605928,2022-11-02 00:00:00.000
1156,1543383537,2022-11-03 00:00:00.000
821,1277828244,2022-11-04 00:00:00.000
583,812448503,2022-11-05 00:00:00.000
406,514374550,2022-11-06 00:00:00.000
915,1385032000,2022-11-07 00:00:00.000
670,967306980,2022-11-08 00:00:00.000
665,948431280,2022-11-09 00:00:00.000
723,964859607,2022-11-10 00:00:00.000
523,917987030,2022-11-11 00:00:00.000
247,344622215,2022-11-12 00:00:00.000
158,180074400,2022-11-13 00:00:00.000
546,982173670,2022-11-14 00:00:00.000
425,786876884,2022-11-15 00:00:00.000
461,1171402102,2022-11-16 00:00:00.000
403,708873468,2022-11-17 00:00:00.000
309,740477653,2022-11-18 00:00:00.000
223,246044242,2022-11-19 00:00:00.000
135,185689250,2022-11-20 00:00:00.000
349,624112250,2022-11-21 00:00:00.000
370,1043109216,2022-11-22 00:00:00.000
407,644127646,2022-11-23 00:00:00.000
365,654615369,2022-11-24 00:00:00.000
812,1232769696,2022-11-25 00:00:00.000
421,611785400,2022-11-26 00:00:00.000
361,571272202,2022-11-27 00:00:00.000
859,1556270199,2022-11-28 00:00:00.000
770,1224229707,2022-11-29 00:00:00.000
889,1534430685,2022-11-30 00:00:00.000
1880,2562025062,2022-12-01 00:00:00.000
1629,2033712588,2022-12-02 00:00:00.000
708,939771082,2022-12-03 00:00:00.000
671,830173251,2022-12-04 00:00:00.000
1280,1833348509,2022-12-05 00:00:00.000
811,948519634,2022-12-06 00:00:00.000
793,1303400067,2022-12-07 00:00:00.000
539,825452554,2022-12-08 00:00:00.000
722,1351401102,2022-12-09 00:00:00.000
1,552500,2022-12-10 00:00:00.000
99,204099719,2022-12-11 00:00:00.000
276,484419004,2022-12-12 00:00:00.000
659,1440359803,2022-12-13 00:00:00.000
298,836356525,2022-12-14 00:00:00.000
392,821273188,2022-12-15 00:00:00.000
413,1306178347,2022-12-16 00:00:00.000
134,284762500,2022-12-17 00:00:00.000
89,157647900,2022-12-18 00:00:00.000
384,1081847763,2022-12-19 00:00:00.000
384,1274826025,2022-12-20 00:00:00.000
385,781909884,2022-12-21 00:00:00.000
459,843649861,2022-12-22 00:00:00.000
741,1141411652,2022-12-23 00:00:00.000
347,611566858,2022-12-24 00:00:00.000
146,252505250,2022-12-25 00:00:00.000
273,570279349,2022-12-26 00:00:00.000
294,698189626,2022-12-27 00:00:00.000
289,596715900,2022-12-28 00:00:00.000
432,672955666,2022-12-29 00:00:00.000
1122,933302304,2022-12-30 00:00:00.000
651,487279059,2022-12-31 00:00:00.000
725,749924401,2023-01-01 00:00:00.000
1715,1656005240,2023-01-02 00:00:00.000
1272,1272132576,2023-01-03 00:00:00.000
902,1211984583,2023-01-04 00:00:00.000
868,1252807986,2023-01-05 00:00:00.000
804,1245441368,2023-01-06 00:00:00.000
596,830063700,2023-01-07 00:00:00.000
459,535686950,2023-01-08 00:00:00.000
1334,1700856584,2023-01-09 00:00:00.000
1577,3179294356,2023-01-10 00:00:00.000
1137,3171600943,2023-01-11 00:00:00.000
850,2220780400,2023-01-12 00:00:00.000
987,2473777421,2023-01-13 00:00:00.000
303,554796500,2023-01-14 00:00:00.000
252,581742536,2023-01-15 00:00:00.000
977,3520391067,2023-01-16 00:00:00.000
690,2313369532,2023-01-17 00:00:00.000
683,1937547202,2023-01-18 00:00:00.000
757,2037147000,2023-01-19 00:00:00.000
637,1973690700,2023-01-20 00:00:00.000
224,648160792,2023-01-21 00:00:00.000
205,599591501,2023-01-22 00:00:00.000
372,1144637819,2023-01-23 00:00:00.000
1345,4412245764,2023-01-24 00:00:00.000
1502,3669320103,2023-01-25 00:00:00.000
1548,4005170507,2023-01-26 00:00:00.000
1481,3753710142,2023-01-27 00:00:00.000
644,1313210650,2023-01-28 00:00:00.000
481,1118691992,2023-01-29 00:00:00.000
2356,6194765317,2023-01-30 00:00:00.000
1805,4609954869,2023-01-31 00:00:00.000
1806,2685473603,2023-02-01 00:00:00.000
1342,2031504936,2023-02-02 00:00:00.000
1078,1639789077,2023-02-03 00:00:00.000
574,861450698,2023-02-04 00:00:00.000
514,742396713,2023-02-05 00:00:00.000
1336,2219997527,2023-02-06 00:00:00.000
1348,2950733034,2023-02-07 00:00:00.000
777,1102545644,2023-02-08 00:00:00.000
635,1123084137,2023-02-09 00:00:00.000
718,1317882500,2023-02-10 00:00:00.000
376,575188100,2023-02-11 00:00:00.000
207,364081250,2023-02-12 00:00:00.000
605,1035435678,2023-02-13 00:00:00.000
544,1003596021,2023-02-14 00:00:00.000
557,1026057262,2023-02-15 00:00:00.000
899,1011786063,2023-02-16 00:00:00.000
490,1343424962,2023-02-17 00:00:00.000
126,227995138,2023-02-18 00:00:00.000
113,166163000,2023-02-19 00:00:00.000
369,866269155,2023-02-20 00:00:00.000
381,767910600,2023-02-21 00:00:00.000
305,625029099,2023-02-22 00:00:00.000
340,569466688,2023-02-23 00:00:00.000
648,1582835433,2023-02-24 00:00:00.000
367,544893996,2023-02-25 00:00:00.000
372,512583100,2023-02-26 00:00:00.000
979,1933618285,2023-02-27 00:00:00.000
1179,1688406004,2023-02-28 00:00:00.000
2124,2821394381,2023-03-01 00:00:00.000
1738,2314843585,2023-03-02 00:00:00.000
1314,1913448447,2023-03-03 00:00:00.000
746,1026848032,2023-03-04 00:00:00.000
588,728912824,2023-03-05 00:00:00.000
1126,1860043774,2023-03-06 00:00:00.000
778,1252258001,2023-03-07 00:00:00.000
728,1082332828,2023-03-08 00:00:00.000
572,896209533,2023-03-09 00:00:00.000
684,1422012845,2023-03-10 00:00:00.000
239,411333525,2023-03-11 00:00:00.000
179,210725500,2023-03-12 00:00:00.000
552,935845055,2023-03-13 00:00:00.000
423,1128560500,2023-03-14 00:00:00.000
391,685523215,2023-03-15 00:00:00.000
753,778432746,2023-03-16 00:00:00.000
419,802735734,2023-03-17 00:00:00.000
134,188788554,2023-03-18 00:00:00.000
75,116759242,2023-03-19 00:00:00.000
229,551829600,2023-03-20 00:00:00.000
208,582259824,2023-03-21 00:00:00.000
91,159445900,2023-03-22 00:00:00.000
99,213432419,2023-03-23 00:00:00.000
467,1230863288,2023-03-24 00:00:00.000
327,723640821,2023-03-25 00:00:00.000
216,330320532,2023-03-26 00:00:00.000
528,1054119992,2023-03-27 00:00:00.000
492,690590002,2023-03-28 00:00:00.000
524,671348115,2023-03-29 00:00:00.000
553,776173585,2023-03-30 00:00:00.000
669,911169111,2023-03-31 00:00:00.000
827,1025880580,2023-04-01 00:00:00.000
544,673401517,2023-04-02 00:00:00.000
1332,1627381905,2023-04-03 00:00:00.000
973,1511763011,2023-04-04 00:00:00.000
968,1645133719,2023-04-05 00:00:00.000
1180,1778624929,2023-04-06 00:00:00.000
547,877183650,2023-04-07 00:00:00.000
454,692177100,2023-04-08 00:00:00.000
300,471268758,2023-04-09 00:00:00.000
941,1425859409,2023-04-10 00:00:00.000
601,916819630,2023-04-11 00:00:00.000
483,681045747,2023-04-12 00:00:00.000
411,819722750,2023-04-13 00:00:00.000
567,910167716,2023-04-14 00:00:00.000
275,406162760,2023-04-15 00:00:00.000
153,221192819,2023-04-16 00:00:00.000
332,781812274,2023-04-17 00:00:00.000
800,1516181734,2023-04-18 00:00:00.000
191,335118349,2023-04-19 00:00:00.000
83,121064600,2023-04-20 00:00:00.000
63,102568825,2023-04-21 00:00:00.000
22,15901500,2023-04-22 00:00:00.000
47,66580342,2023-04-23 00:00:00.000
60,75086000,2023-04-24 00:00:00.000
183,234434300,2023-04-25 00:00:00.000
238,320066578,2023-04-26 00:00:00.000
325,366017703,2023-04-27 00:00:00.000
447,819635348,2023-04-28 00:00:00.000
303,454826137,2023-04-29 00:00:00.000
248,330280169,2023-04-30 00:00:00.000
974,1105158680,2023-05-01 00:00:00.000
1648,2108008545,2023-05-02 00:00:00.000
1411,1837253954,2023-05-03 00:00:00.000
1144,1587628841,2023-05-04 00:00:00.000
960,1385253171,2023-05-05 00:00:00.000
425,614492200,2023-05-06 00:00:00.000
384,494843516,2023-05-07 00:00:00.000
860,1326565551,2023-05-08 00:00:00.000
819,1215888341,2023-05-09 00:00:00.000
791,1161306748,2023-05-10 00:00:00.000
713,862749899,2023-05-11 00:00:00.000
472,746850400,2023-05-12 00:00:00.000
198,298942600,2023-05-13 00:00:00.000
188,228467234,2023-05-14 00:00:00.000
606,954041896,2023-05-15 00:00:00.000
417,709016650,2023-05-16 00:00:00.000
768,759494769,2023-05-17 00:00:00.000
152,210220950,2023-05-18 00:00:00.000
462,1108668400,2023-05-19 00:00:00.000
177,220032019,2023-05-20 00:00:00.000
97,106270500,2023-05-21 00:00:00.000
347,654875850,2023-05-22 00:00:00.000
358,816746919,2023-05-23 00:00:00.000
383,592446471,2023-05-24 00:00:00.000
785,975900571,2023-05-25 00:00:00.000
771,1153557046,2023-05-26 00:00:00.000
373,401312622,2023-05-27 00:00:00.000
350,411915000,2023-05-28 00:00:00.000
716,1006317558,2023-05-29 00:00:00.000
861,1136697516,2023-05-30 00:00:00.000
933,1064025163,2023-05-31 00:00:00.000
997,1155223733,2023-06-01 00:00:00.000
1004,1137005673,2023-06-02 00:00:00.000
